state,official_name_of_order,start,end
Alabama,Suspend certain public gatherings,2020-04-04,2020-04-30
Alaska,Shelter-in-place,2020-03-28,
Arizona,"Stay home, stay healthy, stay connected",2020-03-31,2020-05-15
Arkansas,None,,
California,Shelter-in-place,2020-03-19,
Colorado,Stay-at-home,2020-03-26,2020-04-26
Connecticut,"Stay Safe, Stay Home",2020-03-23,2020-05-20
Delaware,Stay-at-Home,2020-03-24,2020-05-15
Florida,Stay-at-home,2020-04-02,2020-05-04
Georgia,Shelter-in-place,2020-04-03,2020-04-30
Hawaii,Stay-at-home,2020-03-25,2020-05-31
Idaho,Stay home,2020-03-25,2020-04-30
Illinois,Stay-at-Home,2020-03-21,2020-05-30
Indiana,Stay-at-home,2020-03-24,2020-05-01
Iowa,None,,
Kansas,Stay home,2020-03-30,2020-05-03
Kentucky,Stay healthy at home,2020-03-26,
Louisiana,Stay-at-Home,2020-03-23,2020-05-15
Maine,Stay-at-home,2020-04-02,2020-05-31
Maryland,Stay-at-home,2020-03-30,
Massachusetts,Stay-at-home,2020-03-24,2020-05-18
Michigan,"Stay Home, Stay Safe",2020-03-24,2020-05-15
Minnesota,Stay-at-home,2020-03-27,2020-05-19
Mississippi,Shelter-in-place,2020-04-03,2020-04-27
Missouri,Stay Home Missouri,2020-04-06,2020-05-03
Montana,Stay-at-home,2020-03-28,2020-04-26
Nebraska,None,,
Nevada,Stay-at-home,2020-04-01,2020-05-15
New Hampshire,Stay-at-home 2.0,2020-03-27,2020-05-31
New Jersey,Stay-at-home,2020-03-21,
New Mexico,Stay-at-home,2020-03-24,2020-05-15
New York,New York State on PAUSE,2020-03-20,2020-05-15
North Carolina,Stay-at-home,2020-03-30,2020-05-08
North Dakota,None,,
Ohio,Stay-at-home,2020-03-23,2020-05-29
Oklahoma,Safer at home,2020-04-01,2020-05-06
Oregon,Stay-at-home,2020-03-23,
Pennsylvania,Stay-at-home,2020-04-01,2020-05-08
Rhode Island,Stay-at-home,2020-03-28,2020-05-08
South Carolina,Home or work,2020-04-07,2020-05-04
South Dakota,None,,
Tennessee,Safer at home,2020-03-31,2020-04-30
Texas,Statewide essential services and activities protocols,2020-04-02,2020-04-30
Utah,None,,
Vermont,Stay-at-home,2020-03-24,2020-05-15
Virginia,Stay-at-home,2020-03-30,2020-06-10
Washington,Stay-at-home,2020-03-24,2020-05-31
West Virginia,Stay-at-home,2020-03-24,
Wisconsin,Safer at Home,2020-03-25,2020-05-26
Wyoming,None,,
